,uri,track,playlist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
800,spotify:track:3nkX3Nk6eC8KwZwnoZPpLY,"I Love You, You're The Worst",12,romantic,0.775,0.521,6,-7.5,0,0.266,0.374,0,0.101,0.32,86.969
801,spotify:track:1dLXLETYiZohIZWnse4ypG,Better,12,romantic,0.637,0.418,2,-7.1370000000000005,1,0.301,0.353,0,0.131,0.08070000000000001,84.295
802,spotify:track:13iMiwdY7pgE1f7NwYKr1D,Renee's Song,12,romantic,0.593,0.229,9,-8.888,1,0.0307,0.794,0,0.167,0.42,117.823
803,spotify:track:78rFhTXf81WtRS7Ubl2f4V,Lucky,12,romantic,0.78,0.261,2,-9.626,1,0.0488,0.332,0,0.23800000000000002,0.639,92.105
804,spotify:track:7igeByaBM0MgGsgXtNxDJ7,positions,12,romantic,0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005
805,spotify:track:4C6EPWGYM3K3IIv4xzPL2X,I'm Coming,12,romantic,0.65,0.625,0,-10.122,0,0.0359,0.00536,0.0004919999999999999,0.11900000000000001,0.296,118.966
806,spotify:track:5s4useNfZqXHdXrRdDrzWc,Lie To Me,12,romantic,0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927
807,spotify:track:4Eyid2OjeyXZ2fQ8eELXMi,Stay The Way I Left You (feat. Dahl),12,romantic,0.6930000000000001,0.393,7,-6.945,1,0.036000000000000004,0.427,0,0.15,0.529,89.89
808,spotify:track:5esPpmrM2AsyDVgOKzWQwU,Beyond,12,romantic,0.581,0.687,6,-5.4,1,0.105,0.229,0,0.109,0.187,76.014
809,spotify:track:4P6g8wuXeR3wznFk7WnI4w,Losing Me,12,romantic,0.66,0.449,7,-6.573,1,0.0442,0.209,0,0.111,0.23700000000000002,133.984
81,spotify:track:4ZKGarvWsSOruOaw40cFNz,Love That Girl,3,upbeat,0.71,0.674,1,-5.393,1,0.0352,0.013600000000000001,1.73E-05,0.0366,0.7000000000000001,124.033
810,spotify:track:1UNs8AlFM8c0uAkSyjIW3P,Girlfriend,12,romantic,0.758,0.583,1,-6.361,1,0.042100000000000005,0.18,5.12E-05,0.107,0.797,97.537
811,spotify:track:5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),12,romantic,0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919
812,spotify:track:3XV5r1cMB2AlD2ir0v6mfm,The Way I Love You,12,romantic,0.543,0.20600000000000002,6,-18.037,1,0.031900000000000005,0.9400000000000001,0.453,0.385,0.13,113.107
813,spotify:track:195DDl4riXguLriXMSU0Gg,6 months,12,romantic,0.66,0.581,3,-6.056,1,0.0408,0.256,0,0.0892,0.329,145.912
814,spotify:track:7g5bq2JSKV0eNKTFluoQNt,All Love Everything,12,romantic,0.726,0.562,4,-8.226,1,0.08170000000000001,0.166,0,0.07740000000000001,0.757,160.157
815,spotify:track:24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),12,romantic,0.672,0.855,9,-3.7640000000000002,1,0.0397,0.021,0,0.323,0.646,123.056
816,spotify:track:6iey2E15nqKQ60KW8vBQQi,Stay Awake,12,romantic,0.727,0.797,11,-7.956,0,0.0454,0.311,4.27E-05,0.0922,0.6000000000000001,106.033
817,spotify:track:1WO6kvO7P8TOsuhBaqun5w,Is It Really Me You're Missing,12,romantic,0.535,0.297,6,-6.043,1,0.0665,0.653,0,0.11800000000000001,0.0492,147.569
818,spotify:track:02fZLz9BmmOKb5wkueM9D4,If You Ever Want To Be In Love,12,romantic,0.683,0.837,0,-5.46,1,0.0307,0.027600000000000003,2.98E-05,0.0627,0.5650000000000001,115.933
819,spotify:track:5XGJj8eIm5tSdxkIm6GBal,Butterflies,12,romantic,0.709,0.666,0,-7.306,0,0.123,0.231,7.93E-06,0.105,0.502,99.943
82,spotify:track:7l3QyhptrvjiNS5dOcUQvr,Lady (You Bring Me Up),3,upbeat,0.88,0.7020000000000001,0,-6.657,0,0.033600000000000005,0.0772,0.000303,0.0742,0.833,120.844
820,spotify:track:3zjw3EZfvgjuR4AQhVlNq7,Lovely,12,romantic,0.548,0.715,0,-6.798,1,0.0511,0.14300000000000002,2.21E-06,0.218,0.393,159.924
821,spotify:track:5I8oEqbk2ZBmQfXCrZbUFb,Fallin' All In You,12,romantic,0.853,0.47700000000000004,8,-6.697,1,0.0362,0.401,0,0.111,0.8,92.03
822,spotify:track:1Ia95g66IhlAJ3qVI4qI8W,Slow,12,romantic,0.636,0.243,2,-9.509,1,0.04,0.8150000000000001,0,0.111,0.23900000000000002,142.016
823,spotify:track:7cHje4KLujM18aBSLvaySE,This Love,12,romantic,0.494,0.502,8,-5.75,1,0.0329,0.253,4.3700000000000005e-06,0.105,0.162,179.643
824,spotify:track:3OCXPJdjn36BPPZ8RPMlnj,Part of Me,12,romantic,0.40700000000000003,0.417,8,-4.9,1,0.028200000000000003,0.8180000000000001,0,0.106,0.335,157.06
825,spotify:track:5pBZoZhlYKgzdjdqtbBeXX,Slide,12,romantic,0.488,0.227,7,-8.098,1,0.0422,0.893,3.2500000000000002e-06,0.095,0.331,128.131
826,spotify:track:1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,12,romantic,0.505,0.34,4,-9.005,1,0.0438,0.5760000000000001,0,0.21,0.0916,101.993
827,spotify:track:3u5bTqHMM1P34ZkbwzdckV,The Story Never Ends,12,romantic,0.614,0.126,9,-9.403,1,0.0376,0.911,0,0.148,0.35100000000000003,119.945
828,spotify:track:0j2WBxWZnWti5TpSxjJvPb,Love on the Weekend,12,romantic,0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941
829,spotify:track:7MmnLaftYzin7boRbplKdA,There You Are,12,romantic,0.452,0.6880000000000001,0,-4.84,0,0.0385,0.0263,0,0.11,0.313,76.99
83,spotify:track:10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,3,upbeat,0.772,0.397,7,-8.585,1,0.0391,0.339,0.005410000000000001,0.0753,0.617,97.964
830,spotify:track:5g45gvxgaYVuhkDACPnvfh,You & Me,12,romantic,0.714,0.683,11,-6.333,1,0.0443,0.196,7.73E-06,0.10200000000000001,0.8240000000000001,127.021
831,spotify:track:5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,12,romantic,0.665,0.6990000000000001,11,-5.265,1,0.057800000000000004,0.423,0,0.0969,0.585,124.896
832,spotify:track:5FNS5Vj69AhRGJWjhrAd01,Slow Dance,12,romantic,0.6920000000000001,0.443,1,-5.671,1,0.0386,0.214,0,0.06,0.363,127.899
833,spotify:track:7GajHE5z66qqmzTrKVFCab,Take Care of You,12,romantic,0.66,0.667,11,-6.87,1,0.047400000000000005,0.14100000000000001,5.26E-05,0.107,0.452,114.901
834,spotify:track:7COXchtUOMd6uIT6HvmRaI,i'm so tired...,12,romantic,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211
835,spotify:track:3kswR4VNp2z8f8VXUHfTSD,Say Something,12,romantic,0.34,0.354,4,-9.079,1,0.030600000000000002,0.0454,0,0.167,0.216,103.838
836,spotify:track:1kjrgWG47wJgVqvQOvyb7C,Hold My Girl,12,romantic,0.614,0.527,10,-6.374,1,0.0302,0.597,0,0.11,0.354,121.941
837,spotify:track:7apizLyhMRutg3ccXvr2qv,Hurt Somebody,12,romantic,0.633,0.559,6,-5.135,1,0.313,0.336,0,0.262,0.47300000000000003,114.987
838,spotify:track:22pBf2FVR5WYMcZ1ROSINP,Good Years,12,romantic,0.638,0.41100000000000003,2,-5.979,1,0.042,0.55,0,0.14100000000000001,0.158,96.969
839,spotify:track:3bH4HzoZZFq8UpZmI2AMgV,New Light,12,romantic,0.8280000000000001,0.6890000000000001,7,-7.878,1,0.032600000000000004,0.325,0.038400000000000004,0.08080000000000001,0.853,123.931
84,spotify:track:7F1eoVZd2ySSJ70iP3PN1m,I Get The Sweetest Feeling,3,upbeat,0.684,0.482,5,-9.234,1,0.0371,0.778,0.00035099999999999997,0.148,0.749,123.532
840,spotify:track:5fX2oPyLCe5mBKqGDbOWqC,When You Love Someone,12,romantic,0.68,0.446,7,-6.039,1,0.0281,0.256,0,0.051500000000000004,0.339,125.863
841,spotify:track:49VevNdsb5zvMFfZMVrCJi,Call Me Up,12,romantic,0.8210000000000001,0.341,2,-10.086,1,0.124,0.644,0,0.356,0.426,92.027
