,track,uri,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
66,Pink Lemonade,spotify:track:6LzsmlN5UbCYytaaKZueRH,confident,0.474,0.921,1,-2.506,0,0.0478,0.000114,0.0266,0.746,0.715,152.078
67,Who Needs You,spotify:track:2x4F1O1fGO6yj860N2Or0N,confident,0.3,0.88,5,-4.573,1,0.0465,1.37e-05,0.0273,0.0746,0.563,207.92
68,Welcome to Paradise,spotify:track:5kr3j5Clb9rjEposoMyLVt,confident,0.37,0.96,3,-4.162,0,0.0378,0.000241,0.0116,0.0563,0.717,89.428
69,Fall,spotify:track:4o2mXUsityYafHUt0kWjFx,confident,0.516,0.941,6,-4.371,0,0.0529,0.00216,0,0.407,0.549,145.048
70,GREAT NIGHT (feat. Shovels & Rope),spotify:track:53xIMpFKswj3mqbPuiFJC0,confident,0.453,0.914,1,-3.445,1,0.0825,0.0018,0,0.349,0.504,129.841
71,Hated,spotify:track:5N0ToFp1DWQnG3EX24TNPs,confident,0.458,0.99,8,-3.717,1,0.183,0.000285,0.000893,0.454,0.46,166.904
72,Tongues,spotify:track:5mCprFWOqe0jB96v9RhLBo,confident,0.827,0.682,6,-7.111,0,0.0435,0.00048,0.0187,0.101,0.933,117.967
73,Oh My Heart,spotify:track:0Tpc0c8WaTnbYsoWoJ06k2,confident,0.469,0.894,8,-4.981,1,0.0508,3.61e-05,0.535,0.512,0.476,162.981
74,Halfway To Hell,spotify:track:3gtJRdN3kSVPMMuiPdSQpl,confident,0.492,0.861,0,-5.118,1,0.0647,2.23e-05,0.00266,0.113,0.277,134.108
75,Alive With The Glory Of Love,spotify:track:7ve7SjgFNCQiuwaYP6uERF,confident,0.36,0.912,9,-4.631,1,0.121,0.0534,0,0.183,0.624,202.791
76,Loveblood,spotify:track:6Ntw7a75QeRdBy5twUjwDM,confident,0.373,0.89,2,-4.607,1,0.0544,2.24e-05,0.0601,0.408,0.222,170.042
77,Killer Whales,spotify:track:0qnOjNW04qpcgXqD9dwru2,confident,0.416,0.849,8,-3.833,1,0.0503,0.000303,4.23e-05,0.185,0.677,144.844
78,Square Hammer,spotify:track:2XgTw2co6xv95TmKpMcL70,confident,0.53,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.747,129.983
79,Oh No,spotify:track:51EhqjwJH9AmtnQhxVGv1F,confident,0.259,0.978,8,-3.842,1,0.22,0.000477,0.000314,0.268,0.266,132.97
80,Sex on Fire,spotify:track:0ntQJM78wzOLVeCUAW7Y45,confident,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398
81,My Own Worst Enemy,spotify:track:33iv3wnGMrrDugd7GBso1z,confident,0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408
82,My Friends Over You,spotify:track:12mF5rnbbT7jNqiBv8NBFt,confident,0.398,0.978,2,-4.001,1,0.133,0.000291,0,0.0947,0.441,177.797
83,Every Time I Look For You,spotify:track:6Ou4ZbbiRTSMpgIQqMy6Pt,confident,0.504,0.956,11,-2.95,1,0.0469,0.00162,0,0.376,0.645,128.25
84,Avalanche,spotify:track:4EyPadLFhtWojU7mkT5hqT,confident,0.426,0.934,7,-4.063,0,0.0685,2.97e-05,0.0089,0.113,0.285,160.077
85,Drown,spotify:track:6o39Ln9118FKTMbM4BvcEy,confident,0.405,0.94,1,-3.103,0,0.0844,0.000102,2.79e-05,0.719,0.24,143.126
86,Semi-Charmed Life,spotify:track:42et6fnHCw1HIPSrdPprMl,confident,0.64,0.864,7,-6.576,1,0.0314,0.00832,0,0.123,0.701,102.026
87,Helena,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,confident,0.356,0.96,4,-3.487,1,0.104,0.0142,0,0.209,0.0857,125.921
88,Up In The Air,spotify:track:0jUyIAehDk6svz4Neqi5sp,confident,0.471,0.826,11,-6.014,0,0.0897,0.00685,0,0.187,0.422,124.033
89,A-Punk,spotify:track:1595LW73XBxkRk2ciQOHfr,confident,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993
90,Tightrope,spotify:track:44psOy0D0SP8rcIiUgKgBs,confident,0.467,0.794,1,-6.174,0,0.0349,8.39e-05,0.00204,0.103,0.589,162.435
91,Captivate You,spotify:track:7msUsozEfRrk9ZDvk1ncgR,confident,0.401,0.904,11,-5.297,0,0.098,0.000385,1.63e-06,0.0643,0.251,153.422
92,The Hand That Feeds,spotify:track:5ugzDiilhy6ILKmKfhEzd7,confident,0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992
93,1901,spotify:track:5JtPGzRgrWxkXX9LoROq3d,confident,0.604,0.825,0,-5.373,1,0.0429,0.0564,5.8e-05,0.192,0.707,144.085
94,Wolves of Winter,spotify:track:276BiOUCz2cMLxAY8ERvEU,confident,0.546,0.857,5,-4.748,1,0.0445,0.00031,0.00111,0.384,0.373,110.293
95,You & Me,spotify:track:28qibzvW2qqNDfAsAS71pL,confident,0.398,0.893,4,-3.217,1,0.0783,0.000749,0,0.128,0.563,146.005
96,My Body,spotify:track:1KDYN3odJHnj9pqGHN3FVs,confident,0.488,0.909,10,-6.591,1,0.0929,0.0011,1.02e-05,0.456,0.643,129.774
97,Favor,spotify:track:3alP0rX4ErhOszTpx6sFN2,sad,0.487,0.582,5,-8.938,1,0.0268,0.715,0.301,0.0971,0.271,104.003
98,Over Those Hills,spotify:track:5afKJ9yqFQ5L2FxuGiZMPQ,sad,0.561,0.372,3,-9.494,1,0.0425,0.541,0.00248,0.124,0.365,110.062
99,Kitchen Table,spotify:track:1XxLV1Ag179JlXq1gwICcl,sad,0.586,0.35,3,-10.414,1,0.0279,0.794,0.000173,0.12,0.359,132.98
100,Paula Collins,spotify:track:3haHJcTZKjxgnMT9XfCU3D,sad,0.519,0.308,4,-12.706,1,0.0269,0.777,0.00316,0.352,0.366,151.96
101,It's Infinite,spotify:track:6lOHvNgGKFK0HVzSu4HEca,sad,0.555,0.24,0,-17.224,1,0.0303,0.894,0.241,0.111,0.437,136.951
102,"New Person, Old Place",spotify:track:00xsWxrnp7wT3kI5AZqQIU,sad,0.603,0.443,0,-7.73,1,0.0288,0.533,2.24e-06,0.097,0.421,134.891
103,Wild Parts,spotify:track:3RG5SUMbOTOEaQoOuCBSgG,sad,0.639,0.391,4,-9.705,1,0.0314,0.575,0.0423,0.134,0.34,111.781
104,Warped Window,spotify:track:0C0ESa1ZZ5taXaYUxwnvx9,sad,0.514,0.0533,8,-16.276,1,0.045,0.932,1.16e-05,0.113,0.176,113.861
105,Is There Something in the Movies?,spotify:track:1n96oXchJtgq5FGyvVLrvE,sad,0.453,0.101,7,-13.013,1,0.0502,0.914,0,0.0889,0.153,75.145
106,This Is What You Did,spotify:track:35e4UTDLUpqOzGqjWz3AoT,sad,0.619,0.802,7,-8.926,1,0.0658,0.745,0.529,0.101,0.414,134.726
107,This Is What Our Love Looks Like Now,spotify:track:0EIjCvMJeFZC8aysCilaFg,sad,0.354,0.113,4,-12.009,1,0.039,0.945,1.2e-06,0.112,0.181,94.947
108,Better and Better,spotify:track:1o24Xqw0n5tQHJqpZDCXp7,sad,0.55,0.324,0,-10.713,1,0.0453,0.742,0.000486,0.106,0.431,74.003
109,High And Dry,spotify:track:0GehqN1MkS7feXJWWk97KU,sad,0.474,0.145,4,-14.402,1,0.0348,0.911,0.000991,0.126,0.157,106.597
